tourneyId,tourneyName,tourneyLevel,tourneyDate,playerAName,playerAHt,playerAIoc,playerAAge,playerASeed,playerARank,playerBName,playerBHt,playerBIoc,playerBAge,playerBSeed,playerBRank,target,rankDiff,ageDiff,htDiff,sameHand,surf_Clay,surf_Grass,surf_Hard,aHand_L,aHand_R,aHand_U,bHand_L,bHand_R,bHand_U
2024-0339,Brisbane,ATP250,20240101,Grigor Dimitrov,191.0,BUL,32.6,2.0,14.0,Holger Rune,188.0,DEN,20.6,1.0,8.0,1,6.0,12.0,3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Holger Rune,188.0,DEN,20.6,1.0,8.0,Roman Safiullin,185.0,RUS,26.4,,39.0,1,-31.0,-5.8,3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Grigor Dimitrov,191.0,BUL,32.6,2.0,14.0,Jordan Thompson,183.0,AUS,29.7,,55.0,1,-41.0,2.9,8.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Holger Rune,188.0,DEN,20.6,1.0,8.0,James Duckworth,183.0,AUS,31.9,,116.0,1,-108.0,-11.3,5.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Roman Safiullin,185.0,RUS,26.4,,39.0,Matteo Arnaldi,185.0,ITA,22.8,,44.0,1,-5.0,3.6,0.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Jordan Thompson,183.0,AUS,29.7,,55.0,Rafael Nadal,185.0,ESP,37.5,,672.0,1,-617.0,-7.8,-2.0,0,False,False,True,False,True,False,True,False,False
2024-0339,Brisbane,ATP250,20240101,Grigor Dimitrov,191.0,BUL,32.6,2.0,14.0,Rinky Hijikata,178.0,AUS,22.8,,71.0,1,-57.0,9.8,13.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Holger Rune,188.0,DEN,20.6,1.0,8.0,Alexander Shevchenko,185.0,KAZ,23.0,,48.0,1,-40.0,-2.4,3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,James Duckworth,183.0,AUS,31.9,,116.0,Yannick Hanfmann,193.0,GER,32.1,,51.0,1,65.0,-0.2,-10.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Roman Safiullin,185.0,RUS,26.4,,39.0,Alexei Popyrin,196.0,AUS,24.4,,40.0,1,-1.0,2.0,-11.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Matteo Arnaldi,185.0,ITA,22.8,,44.0,Lukas Klein,193.0,SVK,25.7,,170.0,1,-126.0,-2.9,-8.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Rafael Nadal,185.0,ESP,37.5,,672.0,Jason Kubler,178.0,AUS,30.6,,102.0,1,570.0,6.9,7.0,0,False,False,True,True,False,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Jordan Thompson,183.0,AUS,29.7,,55.0,Ugo Humbert,188.0,FRA,25.5,4.0,20.0,1,35.0,4.2,-5.0,0,False,False,True,False,True,False,True,False,False
2024-0339,Brisbane,ATP250,20240101,Rinky Hijikata,178.0,AUS,22.8,,71.0,Tomas Machac,183.0,CZE,23.2,,78.0,1,-7.0,-0.4,-5.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Grigor Dimitrov,191.0,BUL,32.6,2.0,14.0,Daniel Altmaier,188.0,GER,25.3,,56.0,1,-42.0,7.3,3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Holger Rune,188.0,DEN,20.6,1.0,8.0,Max Purcell,185.0,AUS,25.7,,45.0,1,-37.0,-5.1,3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Alexander Shevchenko,185.0,KAZ,23.0,,48.0,Luca Van Assche,178.0,FRA,19.6,,90.0,1,-42.0,3.4,7.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,James Duckworth,183.0,AUS,31.9,,116.0,J J Wolf,183.0,USA,25.0,,53.0,1,63.0,6.9,0.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Yannick Hanfmann,193.0,GER,32.1,,51.0,Sebastian Korda,196.0,USA,23.4,5.0,24.0,1,27.0,8.7,-3.0,1,False,False,True,False,True,False,False,True,False
2024-0339,Brisbane,ATP250,20240101,Roman Safiullin,185.0,RUS,26.4,,39.0,Ben Shelton,193.0,USA,21.2,3.0,17.0,1,22.0,5.2,-8.0,0,False,False,True,False,True,False,True,False,False
2024-0339,Brisbane,ATP250,20240101,Alexei Popyrin,196.0,AUS,24.4,,40.0,Christopher Oconnell,183.0,AUS,29.5,,68.0,1,-28.0,-5.1,13.0,1,False,False,True,False,True,False,False,True,False
