tourneyId,tourneyName,tourneyLevel,tourneyDate,playerAName,playerAHt,playerAIoc,playerAAge,playerASeed,playerARank,playerBName,playerBHt,playerBIoc,playerBAge,playerBSeed,playerBRank,target,rankDiff,ageDiff,htDiff,sameHand,surf_Clay,surf_Grass,surf_Hard,aHand_L,aHand_R,aHand_U,bHand_L,bHand_R,bHand_U
2022-8888,Atp Cup,A,20220103,Felix Auger Aliassime,193.0,CAN,21.4,,11.0,Roberto Bautista Agut,183.0,ESP,33.7,,19.0,1,-8.0,-12.3,10.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Denis Shapovalov,185.0,CAN,22.7,,14.0,Pablo Carreno Busta,188.0,ESP,30.4,,20.0,1,-6.0,-7.7,-3.0,0,False,False,True,True,False,False,False,True,False
2022-8888,Atp Cup,A,20220103,Roberto Bautista Agut,183.0,ESP,33.7,,19.0,Hubert Hurkacz,196.0,POL,24.8,,9.0,1,10.0,8.9,-13.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Pablo Carreno Busta,188.0,ESP,30.4,,20.0,Jan Zielinski,180.0,POL,25.1,,860.0,1,-840.0,5.3,8.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Daniil Medvedev,198.0,RUS,25.8,,2.0,Felix Auger Aliassime,193.0,CAN,21.4,,11.0,1,-9.0,4.4,5.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Denis Shapovalov,185.0,CAN,22.7,,14.0,Roman Safiullin,185.0,RUS,24.4,,167.0,1,-153.0,-1.7,0.0,0,False,False,True,True,False,False,False,True,False
2022-8888,Atp Cup,A,20220103,Casper Ruud,183.0,NOR,23.0,,8.0,Dusan Lajovic,183.0,SRB,31.5,,33.0,1,-25.0,-8.5,0.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Filip Krajinovic,185.0,SRB,29.8,,42.0,Viktor Durasovic,185.0,NOR,24.7,,345.0,1,-303.0,5.1,0.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Cristian Garin,185.0,CHI,25.5,,17.0,Dusan Lajovic,183.0,SRB,31.5,,33.0,1,-16.0,-6.0,2.0,1,False,False,True,False,True,False,False,True,False
2022-8888,Atp Cup,A,20220103,Filip Krajinovic,185.0,SRB,29.8,,42.0,Alejandro Tabilo,188.0,CHI,24.5,,139.0,1,-97.0,5.3,-3.0,0,False,False,True,False,True,False,True,False,False
